Message	Intent	Training
i want to go [marienplatz](StationDest)	FindConnection	False
when is the [next](Criterion) [train](Vehicle) in [muncher freiheit](StationStart)?	DepartureTime	False
when does the [next](Criterion) [u-bahn](Vehicle) leaves from [garching forschungszentrum](StationStart)?	DepartureTime	False
from [olympia einkaufszentrum](StationStart) to [hauptbahnhof](StationDest)	FindConnection	False
when is the [next](Criterion) [train](Vehicle) from [winterstraße 12](StationStart) to [kieferngarten](StationDest)	FindConnection	False
when is the [next](Criterion) [rocket](Vehicle) from [winterstraße 12](StationStart) to [kieferngarte](StationDest)	FindConnection	False
can you find a connection from [garching](StationStart) to [hauptbahnhof](StationDest)?	FindConnection	False
how to get from [untere strassäcker 21](StationStart) to [fröttmaning](StationDest)	FindConnection	False
how i can get from [marienplatz](StationStart) to [garching](StationDest)	FindConnection	False
connection from [boltzmannstraße](StationStart) to [kieferngarten](StationDest)	FindConnection	False
how to get from [bonner platz](StationStart) to [freimann](StationDest)?	FindConnection	False
when is the [next](Criterion) [s-bahn](Vehicle) leaving at [garching](StationStart)?	DepartureTime	False
how do i get from [oez](StationStart) to [hbf](StationDest)?	FindConnection	False
how to get from [winterstrasse 12](StationStart) to [fröttmaning](StationDest)	FindConnection	False
how do i get from [garching forschungszentrum](StationStart) to [pasing](StationDest)	FindConnection	False
[theresienstraße](StationStart) to [assling](StationDest)	FindConnection	False
how can i get from [theresienstraße](StationStart) to [munich east](StationDest)?	FindConnection	False
when does the [next](Criterion) [bus](Vehicle) starts from [garching](StationStart)?	DepartureTime	False
from [quiddestraße](StationStart) to [garching](StationDest)?	FindConnection	False
can you find a connection from [kurt-eisner-straße](StationStart) to [garching forschungszentrum](StationDest)?	FindConnection	False
can you find a connection from [quiddestraße](StationStart) to [garching forschungszentrum](StationDest)?	FindConnection	False
when does the [next](Criterion) [train](Vehicle) leaves at [garching](StationStart)?	DepartureTime	False
from [hauptbahnhof](StationStart) to [garching](StationDest)?	FindConnection	False
how can i get to [glockenbachviertel](StationDest) from [garching forschungszentrum](StationStart)?	FindConnection	False
how i can get from [garching](StationStart) to [nordfriedhof](StationDest)	FindConnection	False
how can i get to [glockenbachviertel](StationDest) from [garching forschungszentrum](StationStart)?	FindConnection	False
when is the [next](Criterion) [train](Vehicle) leaving in [garching forschungszentrum](StationStart)	DepartureTime	False
how can i get from [moosach](StationStart) to [quiddestraße](StationDest)?	FindConnection	False
how can i get from [moosach](StationStart) to [poccistraße](StationDest)?	FindConnection	False
how can i get from [kurt-eisner-straße](StationStart) to [garching forschungszentrum](StationDest)?	FindConnection	False
