Message	Intent	Training
Alternative to [Facebook](WebService)	Find Alternative	False
How do I delete my [Facebook](WebService) account?	Delete Account	False
Are there any good [Pandora](WebService) alternatives with general availability outside the US?	Find Alternative	False
Is it possible to export my data from [Trello](WebService) to back it up?	Export Data	False
Is there an online alternative to [iGoogle](WebService)	Find Alternative	False
How can I remove myself from a [Trello](WebService) organization?	Delete Account	False
How do I transfer my photos from [Flickr](WebService) to [Picasa](WebService)?	Export Data	False
How do I sync [Google Calendar](WebService) with my [Outlook Calendar](WebService)?	Sync Accounts	False
Archive/export all the blog entries from a RSS feed in [Google Reader](WebService)	Export Data	False
How can I delete my [160by2](WebService) account?	Delete Account	False
How can I permanently delete my [Yahoo mail](WebService) account?	Delete Account	False
Deleting an account(website) from [Google Analytics](WebService)?	Delete Account	False
How to delete my [imgur](WebService) account?	Delete Account	False
How to change my [Uber](WebService) password or delete the account?	Delete Account	False
How to delete a [Sify Mail](WebService) account	Delete Account	False
How to permanently delete a [37signals](WebService) ID	Delete Account	False
How can I delete my [Hunch](WebService) account?	Delete Account	False
Any alternatives to [Google Apps](WebService) for your domain?	Find Alternative	False
[Evernote](WebService) alternative	Find Alternative	False
Alternatives to [LibraryThing](WebService)	Find Alternative	False
What are the alternatives to [Facebook](WebService)/Meetup for Event Planning	Find Alternative	False
Is there a free and privacy-aware alternative to [Google](WebService)?	Find Alternative	False
What alternatives to [Google](WebService) Product Search exist?	Find Alternative	False
Photo Sharing Site (alternative to [flickr](WebService)) supporting [OpenID](WebService) sign in?	Find Alternative	False
Any good alternative to [Google Alerts](WebService)?	Find Alternative	False
Good wireframing apps?	None	False
Is there a HTML alternative to [Prezi](WebService)?	Find Alternative	False
Any alternatives to [Google Streetview](WebService)?	Find Alternative	False
[Zencoder](WebService) alternatives?	Find Alternative	False
Alternatives to discontinued [Google Calendar](WebService) Appointment Slots	Find Alternative	False
Q&A Platform similar to [Stack Exchange](WebService) model?	Find Alternative	False
Can I Share/Sync My [Picasa](WebService) Web Albums Automatically to My [Facebook](WebService) Account?	Sync Accounts	False
Sync not export [Facebook](WebService) events with [Google Apps](WebService) calendar	Sync Accounts	False
How do I sync [Facebook](WebService) [Twitter](WebService) & [Foursquare](WebService)?	Sync Accounts	False
[Google Calendar](WebService) not syncing calendars that have been added by URL with Windows 10 Calendar	Sync Accounts	False
[Google](WebService) Contact Synchronization on the iPhone 3G	Sync Accounts	False
[Gmail](WebService) user set up through [Google](WebService) Apps can't change their password	Change Password	False
How do I change my password on [ebay](WebService)?	Change Password	False
[Gmail](WebService) recover password while logged in Iphone	Change Password	False
How to retrieve forgotten [Wordpress](WebService) Admin password	Change Password	False
How to retrieve a stolen [Yahoo](WebService) account's password?	Change Password	False
Users can't reset their passwords anymore on [Google](WebService) Apps?	Change Password	False
Does moving a mail to the IMAP spam folder trains [Gmail](WebService)'s spam filter?	Filter Spam	False
How can I auto-delete some spam from [Gmail](WebService)?	Filter Spam	False
When I move spam to my inbox it goes back into the spam again	Filter Spam	False
How to send messages to spam in [Gmail](WebService) filter?	Filter Spam	False
How do I disable the spam filter in [Gmail](WebService)?	Filter Spam	False
How to check your [Gmail](WebService) spam label for good emails	Filter Spam	False
"Mark large numbers of messages as ""not spam"""	Filter Spam	False
What are alternatives to [Postini](WebService) for spam filtering?	Filter Spam	False
How to remove spam filter for [Google](WebService) Apps email	Filter Spam	False
Does marking an email as spam in [Gmail](WebService) affect the filter for everyone?	Filter Spam	False
How can I prevent/lessen event spam on [Facebook](WebService)?	Filter Spam	False
Do emails auto-forwarded from one [Gmail](WebService) account to another stop if marked as spam?	Filter Spam	False
[Gmail](WebService)'s filter for SPAM folder and/or keywords in multiple fields	Filter Spam	False
Get rid of Russian junk from my [Gmail](WebService)	Filter Spam	False
Embedding stop time in a [YouTube](WebService) video link	None	False
Is there a catch to [PayPal](WebService)'s Premier account type?	None	False
How can I get [OkCupid](WebService) search to show only matches within 5 miles of me?	None	False
How do I download a [YouTube](WebService) video?	Download Video	True
How do I change my password on [TV Tropes](WebService)?	Change Password	True
Why can't I change my password and login with [Skype](WebService)?	Change Password	True
Change subject line in new [Gmail](WebService) compose window	None	True
Email [Google](WebService) Form daily?	None	True
How can I export track.scrobble data from [last.fm](WebService)?	Export Data	True
How can I backup my [wordpress.com](WebService) hosted blog?	Export Data	True
How can I sync my [Yahoo! Calendar](WebService) with [Google Calendar](WebService)?	Sync Accounts	True
[Google](WebService) Bookmarks and [Chrome](Browser) Bookmark Sync -- Different?	Sync Accounts	True
