Annotated sentence	Intent	Training
Book a reservation for [seven](party_size_number) people at a [bakery](restaurant_type) in [Osage City](city)	BookRestaurant	True
Book spot for [three](party_size_number) at [Maid-Rite Sandwich Shop](restaurant_name) in [Antigua and Barbuda](country)	BookRestaurant	True
I need a table for [breakfast](timeRange) in [MI](state) at the [pizzeria](restaurant_type)	BookRestaurant	True
Book a restaurant reservation for [me and my child](party_size_description) for [2 Pm](timeRange) in [Faysville](city)	BookRestaurant	True
I want to book a [highly rated](sort) [churrascaria](restaurant_type) [ten months from now](timeRange).	BookRestaurant	True
i need a table for [7](party_size_number) in [Kashegelok](city) [VT](state)	BookRestaurant	True
book spot for [eight](party_size_number) at a [bar](restaurant_type) that serves [pastelaria](cuisine)	BookRestaurant	True
I need a table for [clare and yvonne ramirez](party_size_description) at [Baker's Keyboard Lounge](restaurant_name)	BookRestaurant	True
I want to book [Cheese Board Collective](restaurant_name) in [Poland](country) for [april the first, 2030](timeRange).	BookRestaurant	True
Book a reservation for a [pub](restaurant_type) serving [burritos](served_dish)	BookRestaurant	True
Book a reservation for [eight](party_size_number) people in [North Dakota](state)	BookRestaurant	True
Book me a reservation for [eight](party_size_number) for the [top-rated](sort) [bakery](restaurant_type) [eleven hours from now](timeRange) in [Mango](city)	BookRestaurant	True
Book a reservation for a [restaurant](restaurant_type) in [Palau](state) [in six years](timeRange) 	BookRestaurant	True
Need a table for a party of [six](party_size_number) at the [RingSide Steakhouse](restaurant_name) in the state of [Nevada](state)	BookRestaurant	True
Book spot for [7](party_size_number) at [NH](state) [Theressa](city)	BookRestaurant	True
book a [restaurant](restaurant_type) in [Georgia](country)	BookRestaurant	True
I need a table in [Elba](city) for [ten](party_size_number) that has a [bar](restaurant_type)	BookRestaurant	True
need a table at a [close-by](spatial_relation) [restaurant](restaurant_type) right [now](timeRange) in [Marco](city)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) in a [distant](spatial_relation) [ID](state) [spa](facility) for [lidia, latasha and diann](party_size_description).	BookRestaurant	True
book a table in [FL](state) for [ten](party_size_number) people	BookRestaurant	True
I want to book a [restaurant](restaurant_type) in [Ayer](city) for [2](party_size_number) people.	BookRestaurant	True
book spot at a [highly rated](sort) [restaurant](restaurant_type) in [Tajikistan](country)	BookRestaurant	True
Book a spot for [now](timeRange) in [NY](state) for [10](party_size_number)	BookRestaurant	True
Book a reservation for [The Training Table](restaurant_name) on [Mar. thirteenth, 2026](timeRange)	BookRestaurant	True
book a table for [me, heidi and cara](party_size_description) in [Saudi Arabia](country)	BookRestaurant	True
Book a reservation for [eight](party_size_number) at a [cafeteria](restaurant_type) [saturday](timeRange)	BookRestaurant	True
Book reservation in [Gasconade](city) at the [best](sort) [restaurant](restaurant_type) in [DC](state)	BookRestaurant	True
Book spot at [Fried chicken restaurant](restaurant_name) in [Mauritania](country)	BookRestaurant	True
I need a table at [spa](facility) [joint](restaurant_type)	BookRestaurant	True
book a [restaurant](restaurant_type) in [NE](state) for [ascension day](timeRange) in [Cle Elum](city) that serves [seafood](served_dish) for [me and my nieces](party_size_description)	BookRestaurant	True
book spot for [4](party_size_number) in [Somalia](country)	BookRestaurant	True
book spot for [John Pearson Soda Works](restaurant_name) in [Cambodia](country) on [Mar. 21st, 2023](timeRange)	BookRestaurant	True
I want to make a reservation for [one](party_size_number) at a [sushi](served_dish) [restaurant](restaurant_type) in [Brucetown](city)	BookRestaurant	True
I want to book [The Hat](restaurant_name) for [my grandfather and I](party_size_description) in [Arkansas](state).	BookRestaurant	True
party of [six](party_size_number) [this week](timeRange) in [Oman](country)	BookRestaurant	True
I need a table in [Anderson](city) [Arkansas](state)	BookRestaurant	True
Book spot for [eight](party_size_number) at [bar](restaurant_type) that serves [potée](served_dish)	BookRestaurant	True
need to book a table in [Ludden](city)	BookRestaurant	True
book a table at [The Crab Cooker](restaurant_name) for [now](timeRange) for [angelina, melva cooper and gwen](party_size_description)	BookRestaurant	True
book a table for [10](party_size_number) in [CHAR No.4](restaurant_name) in [Colombia](country)	BookRestaurant	True
book spot for [melisa castillo and vicky allen](party_size_description) in [Sadorus](city) [MT](state)	BookRestaurant	True
Book a reservation for [8](party_size_number) people at an [irish](cuisine) [bar](restaurant_type)	BookRestaurant	True
Book me a reservation for a party of [3](party_size_number) at a [restaurant](restaurant_type) in [KY](state)	BookRestaurant	True
book spot in [North Catasauqua](city) [SD](state) [in sixteen minutes](timeRange)	BookRestaurant	True
I want to book a [highly rated](sort) [fast food restaurant](restaurant_type) for [eight](party_size_number) people.	BookRestaurant	True
I need to find a table for [4](party_size_number) at a [brasserie](restaurant_type) that has [fondue](served_dish)	BookRestaurant	True
Book a reservation for [eight](party_size_number) people at a [top-rated](sort) [restaurant](restaurant_type) in [Busby](city), [GU](state) on [may second, 2024](timeRange)	BookRestaurant	True
I want to book [Moishes Steakhouse](restaurant_name) in [Lucky](city).	BookRestaurant	True
book [restaurant](restaurant_type) at [ten](party_size_number) that has [internet](facility)	BookRestaurant	True
Book a reservation for [seven](party_size_number) people at a [highly rated](sort) [restaurant](restaurant_type) [this month](timeRange) in [Hawaii](state)	BookRestaurant	True
I want to book a [restaurant](restaurant_type) for [me, carissa and lynn ramirez](party_size_description) in [Colorado](state).	BookRestaurant	True
Book me a [lunch](timeRange) at [Boreas](restaurant_name) for a party of [8](party_size_number)	BookRestaurant	True
Lets eat in [Little Eagle](city) on [May nineteenth](timeRange) for [7](party_size_number) people	BookRestaurant	True
I want to book a [restaurant](restaurant_type) in [New Mexico](state) for [kenya, lilia and ingrid](party_size_description).	BookRestaurant	True
I want to book [Baker's Keyboard Lounge](restaurant_name) for [clare and yvonne ramirez](party_size_description).	BookRestaurant	True
I want to book a [bar](restaurant_type) in [Bonaparte](city) [Palau](state).	BookRestaurant	True
need a table [eighteen seconds from now](timeRange) at a [restaurant](restaurant_type) serving [muffuletta](served_dish)	BookRestaurant	True
I want to book a [highly rated](sort) [oyster bar](restaurant_type) for [this week](timeRange) [close](spatial_relation) by in [FL](state).	BookRestaurant	True
book spot for [seven](party_size_number) that is [distant](spatial_relation) from [your gf's current location](poi) at a [bar](restaurant_type) that serves [middle eastern](cuisine) for [Midnight](timeRange)	BookRestaurant	True
Book a reservation for [leticia, melva and twila edwards](party_size_description) at [Glassy Junction](restaurant_name) for [five p.m](timeRange) [within the same area](spatial_relation) of [our secondary residence](poi)	BookRestaurant	True
Book me a reservation for a party of [5](party_size_number) for the [best](sort) [coffeehouse](restaurant_type) [nearby](spatial_relation) [Borough londonien de Wandsworth](poi) on [Lee Jackson Day](timeRange)	BookRestaurant	True
Book me a reservation for a [puglia](cuisine) [restaurant](restaurant_type) at [three](party_size_number)	BookRestaurant	True
i want a table [in one week](timeRange) at [Glen Arm](city) for [esmeralda, andrea and I](party_size_description)	BookRestaurant	True
i want a table at an [outdoor](facility) [restaurant](restaurant_type) for [me, helene and alana](party_size_description)	BookRestaurant	True
Book a reservation for a [delicatessen](restaurant_type) restaurant that serves [farçous](served_dish) in [OK](state)	BookRestaurant	True
I want to book a restaurantin [Perrytown](city) [Missouri](state) for [candice, jeannie and nichole](party_size_description).	BookRestaurant	True
Book me a reservation for [2](party_size_number) at [Fraser Mansion](restaurant_name) in [Serbia](country)	BookRestaurant	True
need a table somewhere in [McLaurin](city) [Connecticut](state)	BookRestaurant	True
I want to book an [osteria](restaurant_type) in [Morningside](city) [AL](state).	BookRestaurant	True
Book me a reservation for a party of [three](party_size_number) [next year](timeRange)	BookRestaurant	True
Book a reservation for a [restaurant](restaurant_type) [now](timeRange)	BookRestaurant	True
book spot at [top-rated](sort) [restaurant](restaurant_type)	BookRestaurant	True
Book a reservation for [my great grandfather and I](party_size_description) at a [macaroni](served_dish) [pub](restaurant_type) in [CT](state)	BookRestaurant	True
Book a reservation for [The Windmill](restaurant_name) in [Northern Mariana Islands](country)	BookRestaurant	True
I want to book a [latin](cuisine) [restaurant](restaurant_type) for [five](party_size_number) people.	BookRestaurant	True
I want to book a [pub](restaurant_type) [now](timeRange).	BookRestaurant	True
